sample_id	score_corrected
GSM615096	0.2177952918925679
GSM615097	0.0754824970260008
GSM615098	0.06659282327493038
GSM615099	0.11271271321991566
GSM615100	0.1563087253976369
GSM615101	0.15132714844060363
GSM615102	0.12112881435597017
GSM615103	0.03299739623923331
GSM615104	0.13979431074224774
GSM615106	0.14141974493559678
GSM615107	0.05470955534894956
GSM615108	0.08585656710305872
GSM615109	0.030707388741350095
GSM615110	0.0320030133839751
GSM615111	0.12426928056079362
GSM615112	0.13201049163941841
GSM615113	0.1171326087723707
GSM615114	-0.027487834928234867
GSM615115	0.12317224163025148
GSM615116	0.06056844493887342
GSM615117	-0.006210902383004202
GSM615120	-0.16516257495443348
GSM615121	0.06047484675635312
GSM615122	-0.10181916194648327
GSM615123	0.08705853855082774
GSM615124	-0.004036491194142344
GSM615125	-0.12276352069005952
GSM615126	0.03579647294300364
GSM615127	0.20527434245244885
GSM615128	0.06795678392660504
GSM615129	0.09527244960534004
GSM615130	0.06827227559268273
GSM615131	-0.0012613214131664274
GSM615132	0.10013926614438645
GSM615133	0.14266955630765737
GSM615134	0.041855067524609046
GSM615135	-0.12269652020337668
GSM615136	0.004616324272202654
GSM615137	0.0005802240572838069
GSM615138	0.09623019395198423
GSM615139	-0.1871919061868959
GSM615140	0.023588517122104358
GSM615141	-0.027464696823881918
GSM615142	0.1788246420233966
GSM615143	0.14022880730438064
GSM615144	-0.030942603244298594
GSM615145	-0.20089867054097715
GSM615146	0.16869919170746156
GSM615147	-0.13129186461533987
GSM615148	0.04842197645720353
GSM615149	0.04031433664493239
GSM615150	0.08995089114096072
GSM615151	0.2547307387767928
GSM615152	0.03881825222893104
GSM615153	0.05316507837808021
GSM615154	-0.04854575370086106
GSM615155	0.12702833396001384
GSM615156	-0.050617121696693135
GSM615157	0.14199322582742463
GSM615158	-0.1638180700943594
GSM615159	0.05510666187832397
GSM615160	0.08449666828703267
GSM615161	0.157596425354039
GSM615162	-0.012943810508862674
GSM615164	0.02769970154425988
GSM615165	0.06394753002448533
GSM615166	0.06220850108538584
GSM615167	-0.014015462014959568
GSM615168	0.07261214486827433
GSM615169	-0.046958503339363744
GSM615170	0.1194217911584165
GSM615171	0.0013817657986816
GSM615172	0.00808219988270581
GSM615173	-0.003995384241736566
GSM615174	0.2598440273448533
GSM615175	0.020576583159341022
GSM615176	0.06786848270367046
GSM615177	0.014554502823620308
GSM615178	0.041947909680977336
GSM615179	-0.05783829479407626
GSM615180	-0.0013807796028176278
GSM615181	0.04020688986629989
GSM615182	-0.37733346785185445
GSM615183	0.07081869988952766
GSM615184	0.05643750843445888
GSM615185	-0.05859549602530206
GSM615186	0.026611508546110108
GSM615187	-0.12136085820115322
GSM615188	-0.020645435124075073
