sample_id	score_deployed
GSM411292	-0.012246888526751931
GSM411293	0.00391774026586289
GSM411294	-0.0010616418466247168
GSM411295	0.0035197313354312643
GSM411297	-0.005728424670404131
GSM411298	-0.12967148035407405
GSM411299	-0.0043789523311708045
GSM411300	-0.09179230424964202
GSM411301	-0.021129491266010048
GSM411302	-0.0014989392122500833
GSM411303	0.016392672536016728
GSM411304	-0.16983792666386532
GSM411305	0.015965624327398897
GSM411306	0.010190224354046595
GSM411307	-0.15945211423027117
GSM411308	-0.040529437287116554
GSM411309	-0.17261715640555253
GSM411310	0.07146480951941658
GSM411311	-0.014628109338006845
GSM411312	0.17320989931911457
GSM411313	0.04072929584874996
GSM411314	0.01772164656123676
GSM411315	-0.010096273748150697
GSM411316	0.07719921286474174
GSM411317	0.002392324064678819
GSM411318	0.02707229413714074
GSM411319	0.1447616558538063
GSM411320	-0.05897962809225632
GSM411321	0.05783001431465562
GSM411322	0.12291728588656903
GSM411323	-0.024580040791644886
GSM411324	-0.0557391862852612
GSM411325	0.09510790654135348
GSM411326	0.1646313549043924
GSM411327	-0.017506414264093717
GSM411328	-0.03401268162360316
GSM411329	-0.09381138817998891
GSM411330	0.05982859993098888
GSM411331	0.04189769974752888
GSM411332	0.059857639209175195
GSM411333	0.09526335208929049
GSM411334	0.0703818152623612
GSM411335	0.016623278568671185
GSM411336	-0.008046442346783755
GSM411337	0.06067244719121878
GSM411338	-0.03188768973751899
GSM411339	-0.024306729938129434
GSM411340	0.10144530195724744
GSM411341	0.011179268005206633
GSM411342	-0.09913924163070953
GSM411343	-0.050348129699665845
GSM411344	-0.05084863020016628
GSM411345	0.05710574055283957
GSM411346	0.00945399324238927
GSM411347	0.06023856621126267
GSM411348	0.0016765912670348992
GSM411349	-0.08943158175240096
GSM411350	-0.03870337914706523
GSM411351	0.24205690331970153
GSM411352	0.015044908389618139
GSM411353	0.11684124397435014
GSM411354	0.012392084917682067
GSM411355	0.03780145333046325
GSM411356	-0.028104042609161883
GSM411357	0.1302044365184294
GSM411358	5.039168861709076e-05
GSM411359	0.08371084394975159
GSM411360	-0.0010787237749698697
GSM411361	-0.037224084152412074
GSM411362	-0.17961903883405572
GSM411363	-0.033783783783784105
GSM411365	-0.1050359232953092
GSM411366	0.1010387520626429
GSM411368	-0.006063230465961245
GSM411369	-0.04049527343042714
GSM411370	0.016507121455927032
GSM411371	-0.13706112255600322
GSM411372	-0.07079007334980048
GSM411373	0.05631826365614734
GSM411374	-0.021476254411408213
GSM411375	0.011150228727020539
GSM411376	-5.039168861709076e-05
GSM411377	-0.02590730662403018
GSM411378	0.00015971603002318258
GSM411379	-0.08604252716880723
GSM411380	-0.12571359755660105
GSM411381	-0.02813649827301723
GSM411382	-0.2105236635953358
GSM411383	0.027012507387933815
GSM411384	0.01100161595042115
GSM411385	0.03858551384148645
GSM411386	0.16277796567898972
GSM411387	-0.15490832129057386
GSM411388	0.0763604901830156
GSM411389	0.17454912250134091
GSM411390	0.09554178752130926
GSM411391	-0.11332749131383968
GSM411392	-0.02711499895800229
GSM411393	0.04637316497384736
GSM411394	-0.0793805751143637
GSM411395	-0.021163655122699687
GSM411396	-0.06620357558924128
GSM411397	-0.06340043114787164
GSM411398	0.13542638201341273
GSM411400	-0.03738636247168681
GSM411401	0.013020699880768039
GSM411402	0.1468285691835176
GSM411403	-0.02232010167163745
GSM411404	-0.04376987909411156
GSM411405	0.010673642926202653
GSM411406	0.02577919216144453
GSM411407	-0.1337045236362645
GSM411408	-0.03533994745598834
GSM411409	0.01752349619243776
