sample_id	score_corrected
GSM508011	-0.1317020286424624
GSM508190	0.16077323285905654
GSM508191	-0.09354311339719257
GSM508192	-0.09361756532554943
GSM508193	0.18196016868945641
GSM508195	-0.05498926590167741
GSM508197	-0.010776037883457601
GSM508198	0.13258658738966445
GSM508199	0.1425925412801925
GSM508200	-0.10078568291038792
GSM508201	0.07558489982283689
GSM508202	-0.29565186894284523
GSM508203	0.1173143815049501
GSM508204	0.14929009359750134
GSM508205	-0.1479265713941028
GSM508206	-0.26196462035505497
GSM508207	-0.3417347804218819
GSM508208	-0.36995231628973657
GSM508209	-0.2675095438606826
GSM508210	0.058731604138216986
GSM508211	-0.28970691812010807
GSM508212	0.10288846444230315
GSM508213	0.06678902238013718
GSM508214	-0.4723669455805254
GSM508215	0.0462825227140391
GSM508216	-0.2630107298336044
GSM508217	-0.0010720603225063963
GSM508218	-0.022761498805032532
GSM508219	-0.06696980349775195
GSM508220	0.052489249422816076
GSM508221	0.06183895426208463
GSM508222	-0.20652706406499222
GSM508223	0.17670820411257593
GSM508224	0.2999344349869444
GSM508225	0.4577594936346846
GSM508226	-0.09483738845371215
GSM508227	0.21712636421072296
GSM508228	-0.07772918886378422
GSM508229	0.0972684180284672
GSM508230	-0.06674515787616253
GSM508231	0.269744082331945
GSM508232	0.035884206390825124
GSM508233	0.12415792484498167
GSM508234	0.0036958120665808725
GSM508235	0.12914519274144132
GSM508236	0.25595035673418676
GSM508237	0.13570086905718404
GSM508238	-0.06887650397332845
GSM508239	0.2758358469198706
GSM508240	0.06873067098285635
GSM508241	0.16762493924608235
GSM508242	-0.13598513413460123
GSM508243	0.05052103300132882
GSM508244	0.3446378070991116
GSM508245	0.10319557001583501
GSM508247	-0.11249555008302803
GSM508248	0.13069766176600228
GSM508249	0.28171205586197545
GSM508250	-0.07671920469521298
GSM508252	0.23889622494383478
GSM508253	0.2776536244539768
GSM508254	0.16754197806838
GSM508255	-0.12680188678550997
GSM508256	0.05248404457768008
GSM508257	-0.189267596829519
GSM508258	-0.04418487050511266
GSM508259	0.0022543215545169915
GSM508260	-0.0798952941717408
GSM508261	-0.19340429650224333
GSM508262	-0.11164827835415703
GSM508263	0.0014510156417220088
GSM508265	-0.2934987472872863
GSM508267	0.2566185992022093
GSM508268	-0.16874556258405304
GSM508269	-0.1227816270501021
GSM508270	0.021842881227351785
GSM508271	-0.21160575504081525
GSM508272	-0.03614988035333466
GSM508273	0.0030302392708027037
GSM508274	-0.21381410596269157
GSM508275	0.0010720603225063963
GSM508276	-0.14711265730747114
GSM508277	-0.33937655705753034
GSM508278	-0.13243757342290097
GSM508279	0.09446383214538268
GSM508280	-0.35726446851676863
GSM508281	-0.29088861282929324
GSM508282	0.06923540853158394
GSM508283	0.08424270429828773
GSM508284	0.035248845249359784
GSM508285	-0.02501663102000662
GSM508286	-0.21710930186384458
GSM508287	0.13329982958581854
GSM508288	0.011909158389529773
GSM508316	-0.02284649138294803
GSM508317	0.4574427031170011
GSM508318	0.01479803531903523
GSM508319	-0.1109669921910248
GSM508320	-0.006219285167974542
GSM508321	-0.10260697636965188
GSM508322	0.021788036375837705
GSM508323	-0.20574725524934512
GSM508324	0.094073155964013
GSM508325	-0.199511072146208
GSM508326	0.2012134997107754
GSM508327	-0.04295673934997446
GSM508328	0.022384163467483953
GSM508329	-0.049745808136160696
GSM508330	-0.13608557990850068
GSM508332	-0.01337607149420772
GSM508333	-0.012964478585667738
GSM508334	-0.0608426952635891
GSM508335	-0.04091678864453574
GSM508336	0.19978872883082588
GSM508337	-0.012263488704089665
GSM508338	0.011164065500757547
GSM508340	-0.08235663533349313
GSM508341	0.04501115060650063
GSM508342	0.22829691507893546
GSM508343	0.22389415225240483
