patient_id	pam50_subtype	basal_score	her2_score	luma_score	lumb_score	normal_score
GSM1030271	LumB	-0.404181	0.027003	0.098084	0.517073	-0.408362
GSM1030272	LumB	-0.385714	0.203310	0.068815	0.506620	-0.469686
GSM1030273	LumA	-0.591812	-0.153310	0.480488	0.258537	-0.236237
GSM1030274	LumA	-0.570383	0.051045	0.385017	0.288676	-0.284146
GSM1030275	LumB	-0.534669	0.244948	0.052613	0.645296	-0.539373
GSM1030276	LumB	-0.472125	-0.022300	0.275436	0.331533	-0.194774
GSM1030277	LumB	-0.564808	0.329443	-0.039547	0.739895	-0.673868
GSM1030278	LumB	-0.669338	-0.009059	0.374216	0.395296	-0.314111
GSM1030279	LumA	-0.705052	0.147909	0.489373	0.341115	-0.225784
GSM1030280	LumA	-0.681185	0.017944	0.485017	0.328571	-0.229617
GSM1030281	LumA	-0.563589	0.014111	0.369861	0.357317	-0.163415
GSM1030282	LumB	-0.648606	0.058188	0.329965	0.508362	-0.347561
GSM1030283	LumA	-0.627178	-0.094948	0.546864	0.193902	-0.095470
GSM1030284	LumB	-0.528333	0.154275	0.224487	0.372316	-0.418311
GSM1030285	LumA	-0.208110	-0.614487	0.711703	-0.486432	0.693933
GSM1030286	LumA	-0.326655	-0.322997	0.722822	-0.449826	0.603484
GSM1030287	LumA	-0.256794	-0.555226	0.781533	-0.456620	0.624216
GSM1030288	Normal	-0.108541	-0.653426	0.645673	-0.535912	0.756915
GSM1030289	LumA	-0.423345	-0.579094	0.834146	-0.314983	0.575958
GSM1030290	Normal	-0.084669	-0.437108	0.597387	-0.492509	0.691115
GSM1030291	Normal	-0.112892	-0.650523	0.667596	-0.481707	0.731533
GSM1030292	Normal	0.552962	-0.513763	-0.030662	-0.514983	0.554181
GSM1030293	Basal	0.851220	-0.153310	-0.485366	-0.296516	0.247909
GSM1030294	Basal	0.537282	0.317247	-0.739547	0.194774	-0.277003
GSM1030295	Basal	0.384495	0.239373	-0.341115	-0.131533	0.051742
GSM1030296	Basal	0.770906	-0.009756	-0.607491	-0.206620	0.081882
GSM1030297	Basal	0.579965	0.139895	-0.539024	-0.103833	-0.195993
GSM1030298	Basal	0.525087	-0.139024	-0.141986	-0.490941	0.397909
GSM1030299	Basal	0.688328	0.249477	-0.723345	0.064634	-0.179791
GSM1030300	Basal	0.813763	-0.104704	-0.522474	-0.289024	0.196864
GSM1030301	Basal	0.541115	0.314460	-0.717247	0.054181	-0.237979
GSM1030302	Basal	0.711847	0.033798	-0.560801	-0.239547	0.083275
GSM1030303	Basal	0.708711	0.010627	-0.649652	-0.143902	-0.041115
GSM1030304	Basal	0.547387	0.266899	-0.474390	-0.031359	-0.091289
GSM1030305	Normal	0.531359	-0.320906	-0.102787	-0.482578	0.586934
GSM1030306	Basal	0.572474	0.195645	-0.698780	-0.072474	-0.137456
GSM1030307	Basal	0.532578	0.252613	-0.618293	-0.089373	-0.097909
GSM1030308	Basal	0.517770	0.224042	-0.610801	-0.081185	-0.080836
GSM1030309	Basal	0.533124	0.232589	-0.579119	-0.116730	-0.058452
GSM1030310	Basal	0.770906	-0.180488	-0.545645	-0.238153	0.124564
GSM1030311	Basal	0.360976	0.201742	-0.326829	-0.280488	0.037805
GSM1030312	Basal	0.616202	0.243902	-0.508362	-0.193380	-0.040592
GSM1030313	Basal	0.731707	-0.101568	-0.560976	-0.265331	0.203310
GSM1030314	Her2	0.202787	0.202962	-0.121777	-0.034146	-0.074216
GSM1030315	Normal	0.441241	-0.332607	0.064901	-0.619479	0.562418
GSM1030316	Basal	0.664634	0.074913	-0.613589	0.033624	-0.076829
GSM1030317	Basal	0.461324	0.259930	-0.659930	-0.042334	-0.101220
GSM1030318	Basal	0.753659	-0.008188	-0.528223	-0.295645	0.192509
GSM1030319	Basal	0.705749	-0.131359	-0.434495	-0.305923	0.165331
GSM1030320	Basal	0.573519	0.106098	-0.506794	-0.167770	0.028746
GSM1030321	Normal	0.331025	-0.558909	0.092251	-0.406028	0.489743
GSM1030322	Basal	0.423519	-0.230314	-0.057143	-0.487979	0.408885
GSM1030323	Basal	0.644425	0.228746	-0.599303	-0.119338	-0.116725
GSM1030324	Basal	0.758014	-0.044774	-0.527003	-0.318293	0.160801
GSM1030325	Basal	0.398432	0.112718	-0.559408	0.085366	-0.139199
GSM1030326	Basal	0.361324	-0.121429	-0.221777	-0.133972	0.096341
GSM1030327	Basal	0.753310	0.151220	-0.653136	-0.111324	0.000174
GSM1030328	Basal	0.493031	0.271777	-0.712369	0.189547	-0.254355
GSM1030329	Basal	0.505052	0.139547	-0.651045	0.292160	-0.289199
GSM1030330	Basal	0.513763	0.270557	-0.619338	0.009408	-0.097735
GSM1030331	Basal	0.836585	0.057840	-0.618641	-0.184146	0.079965
GSM1030332	Basal	0.506969	-0.002787	-0.532056	0.156620	-0.072997
GSM1030333	Basal	0.496516	0.251045	-0.699826	0.173868	-0.240941
GSM1030334	Basal	0.601246	-0.252363	-0.227972	-0.372316	0.296529
GSM1030335	Basal	0.417422	0.226655	-0.472300	-0.100174	-0.091115
GSM1030336	Basal	0.620383	0.179268	-0.710627	0.179965	-0.241115
GSM1030337	Basal	0.472300	0.006098	-0.520383	-0.095645	-0.098606
GSM1030338	Basal	0.703659	-0.007143	-0.534843	-0.263415	0.136411
GSM1030339	Basal	0.706446	0.016028	-0.523868	-0.366899	0.149826
GSM1030340	Basal	0.706446	0.096167	-0.480139	-0.306794	0.156794
GSM1030341	Basal	0.734843	-0.205575	-0.375087	-0.477352	0.342509
GSM1030342	Basal	0.537282	0.381010	-0.704007	0.052265	-0.202439
GSM1030343	Basal	0.627875	0.107840	-0.632056	0.017247	-0.167770
GSM1030344	Basal	0.716028	-0.152091	-0.448084	-0.304704	0.246167
GSM1030345	Basal	0.520732	-0.436760	-0.114634	-0.313937	0.367944
GSM1030346	Basal	0.752091	0.124390	-0.740941	-0.051394	-0.051394
GSM1030347	Basal	0.569164	0.304530	-0.525958	-0.050174	-0.148084
GSM1030348	Her2	-0.280662	0.495122	-0.028920	0.223519	-0.243206
GSM1030349	LumB	-0.239721	0.250174	-0.019686	0.374913	-0.290941
GSM1030350	Her2	-0.277178	0.376132	-0.030139	0.059233	-0.231359
GSM1030351	Her2	-0.318467	0.555749	-0.056098	0.415157	-0.498606
GSM1030352	LumA	-0.182578	-0.093554	0.578920	-0.488502	0.493206
GSM1030353	Her2	-0.308537	0.257840	0.230662	0.016376	-0.045296
GSM1030354	LumA	-0.597909	-0.295470	0.845993	-0.251916	0.380836
GSM1030355	LumA	-0.371603	-0.068118	0.476307	-0.325784	0.155401
GSM1030356	LumA	-0.797561	-0.024564	0.648955	0.253484	-0.093728
GSM1030357	LumA	-0.264808	-0.585714	0.756446	-0.468467	0.643902
