gene_symbol	direction	rank_in_direction	rho
GRB7	sensitivity	1	-0.3045268671
TACSTD2	sensitivity	2	-0.2930608502
ERBB3	sensitivity	3	-0.2394038936
MST1R	sensitivity	4	-0.2374403131
KLF5	sensitivity	5	-0.2347490001
SYK	sensitivity	6	-0.2097629432
MYCL	sensitivity	7	-0.2050193616
ERBB2	sensitivity	8	-0.1964563062
FGFR3	sensitivity	9	-0.1917294415
PIK3C2B	sensitivity	10	-0.1894340224
TNFSF13	sensitivity	11	-0.1733769416
FGFR2	sensitivity	12	-0.1722456833
LCK	sensitivity	13	-0.166293907
CACNA1D	sensitivity	14	-0.1591995945
LYN	sensitivity	15	-0.1584953086
PDGFB	sensitivity	16	-0.1531752832
REL	sensitivity	17	-0.1479417878
BCR	sensitivity	18	-0.1395775556
EGFR	sensitivity	19	-0.1365476646
STAT6	sensitivity	20	-0.1340040548
RHOA	resistance	1	0.2665443777
FGFR1	resistance	2	0.2656481293
DDR2	resistance	3	0.264416324
PDGFRB	resistance	4	0.2339123004
PRKACA	resistance	5	0.2297549518
GNB1	resistance	6	0.2275439372
MYBL1	resistance	7	0.2252009876
FGF2	resistance	8	0.2197635606
RHEB	resistance	9	0.2110596846
CDH2	resistance	10	0.204494079
NUF2	resistance	11	0.2003915042
TYMS	resistance	12	0.1988922093
RAF1	resistance	13	0.1970743484
SMYD3	resistance	14	0.1932673035
RRAGC	resistance	15	0.1925677689
TFE3	resistance	16	0.1880982499
CDK4	resistance	17	0.1859969645
AKT3	resistance	18	0.1856022432
ABL2	resistance	19	0.1790354724
NRAS	resistance	20	0.177688968
