name	cohort	point	lo	hi	marginal	n	se
Framework(Dox)	GSE32646	0.4810606060606061	0.3612000113403482	0.6008196853209369	0.5622895622895622	115	0.061127467852190996
Mammaprint*	METABRIC	0.4988	0.4396	0.5601		399	0.03073979591836736
DoxVariant_gse25066	?	0.5120355223182986	0.4455081810748561	0.5851525766556622	0.48952247409830957	488	0.035623570301226044
GGI_gse25066	?	0.5084780971670432	0.44401648947469236	0.5697700561812501	0.43831632520578545	488	0.03207999150677494
Mammaprint_metabric	?	0.4774086733603931	0.41869539397888667	0.5331867116613911	0.5124439222388378	0	0.02920696879655725
RSlike_gse25066_HRpos	?	0.5033986928104576	0.39108799505633435	0.6182507809013833	0.4607843137254902	285	0.05794969026659412
DLDA30_gse16446	?	0.45918367346938777	0.31849206349206344	0.594657605466429	0.4808673469387755	114	0.07045039336080754
TIS_gse25066	?	0.5317961102022798	0.4707270296896413	0.6011737499752736	0.5799901326893615	488	0.03327722456266131
cytolytic_gse22226	?	0.5301846590909091	0.41210149672724555	0.6405795048207955	0.5985054347826086	124	0.058285206146313766
HRD_gse22226	?	0.5543323863636364	0.43941673716393215	0.6687518531566136	0.6124320652173912	124	0.058503856120581996
TGFBstrom_gse25066	?	0.4548570538287762	0.3953551484545653	0.5118479621411478	0.4239827581729896	488	0.02971755451188329
